,이름,주민등록번호,생년월일,소득구분,총지급액,소득세율,소득세,실지급액,기업명,사업자등록번호,지급일,소득내역,업무시작일,업무종료일,납기준수,업무품질,만족도,전체평점
1,박완하,,1986.6.3,기타소득,1237097,0.088,108864.54,1128232.46,혀하테크,347-11-08432,2021.2.3,외주,2020.12.23,2021.2.3,4,3,2,3
2,성윤지,860824-1655068,1986.8.24,근로소득,3592358,0.06,215541.48,3376816.52,(주) 윤녕,044-81-57831,2020.6.2,급여,2020.5.3,2020.6.2,3,2,2,
3,박미하,880601-2455116,1988.6.1,근로소득,1944262,0.04,77770.48,1866491.52,병하글로벌,703-11-80454,2019.10.1,임금,2019.9.2,2019.10.1,3,1,1,1
4,조유하,910411-1656116,1991.4.11,근로소득,1646628,0.04,65865.12,1580762.88,지운소프트,850-19-85934,2021.8.18,임금,2021.7.19,2021.8.18,3,4,4,3.67
5,최태우,841007-2987991,1984.10.7,근로소득,2816893,0.06,169013.58,2647879.42,상하 코퍼레이션,006-77-31082,2018.6.3,월급,2018.5.4,,3,4,2,3
6,전동태,,1987.2.19,근로소득,2225221,0.04,90744.91,2134476.09,재원랩,779-47-28370,2018.12.23,월급,2018.11.24,2018.12.23,2,4,1,
7,오도이,951120-1493888,1995.11.20,근로소득,3197097,0.06,194456.38,3002640.62,미성정보통신기술,948-98-72042,2020.10.11,,2020.9.12,2020.10.11,4,4,4,4
8,최지지,911115-2624365,1991.11.15,근로소득,4434759,0.14,637096.63,4434759,호미 주식회사,950-14-10267,2020.11.16,정기급여,2020.10.17,2020.11.16,2,4,3,3
9,노서지,890510-1478718,1989.5.10,근로소득,3928377,0.14,549972.78,3378404.22,지균물산,417-44-88884,2020.4.1,월급여,,2020.4.1,2,1,3,2
10,노서지,890510-1478718,1989.5.10,근로소득,3928377,0.14,549972.78,3378404.22,지균물산,,2018.10.1,월급여,2018.9.2,2018.10.1,2,4,4,3.33
11,김미재,910514-2519594,1991.5.14,근로소득,4791764,0.14,670846.96,4120917.04,재시테크,428-38-77644,,임금,2019.10.10,2019.11.9,3,4,3,3.33
12,장지연,850114-1233974,1985.1.14,근로소득,1733373,0.04,69334.92,1664038.08,정억시스템,496-55-25412,,임금,2021.2.28,2021.3.27,1,1,1,1
13,주가연,951118-1412494,1995.11.18,근로소득,3805341,0.14,532747.74,3272593.26,균성 코퍼레이션,847-10-61166,2021.5.18,정기급여,2021.4.19,2021.5.18,1,4,4,3
14,최재찬,930322-2813503,1993.3.22,사업소득,809305,0.033,28068.89,781236.11,종규정보기술,956-60-27798,2021.1.12,용역,2020.11.10,2021.1.12,4,1,3,2.67
15,안지윤,960311-1811580,1996.3.11,근로소득,4227038,0.14,616439.22,4227038,응하글로벌,914-27-36789,,정기급여,2019.6.5,2019.7.4,3,2,1,2
16,백유은,910901-1215421,1991.9.1,근로소득,3246380,0.06,,3051597.2,후하센터(주),755-70-13059,2019.5.15,정기급여,2019.4.16,2019.5.15,1,2,1,1
